epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6208.72,0.70674,0.9657,0.96468,0.66802,0.80239,0.86792,0.60376,1.03881,1.53493,1.04568,0.000270316,0.000270316,0.000270316
43,6342.19,0.71536,0.94942,0.96972,0.82721,0.67596,0.85601,0.60843,1.00972,1.51782,1.03868,0.000265811,0.000265811,0.000265811
44,6474.32,0.71667,0.96883,0.97991,0.74458,0.73036,0.87364,0.64514,1.00268,1.43996,1.04589,0.000261307,0.000261307,0.000261307
45,6625.11,0.68004,0.90043,0.95091,0.65102,0.89251,0.87231,0.62742,1.02662,1.42699,1.07072,0.000256802,0.000256802,0.000256802
46,6805.76,0.69972,0.92041,0.96934,0.78691,0.78668,0.88101,0.63865,1.05748,1.42037,1.09438,0.000252298,0.000252298,0.000252298
47,6956.44,0.70414,0.89914,0.97178,0.89979,0.73896,0.85379,0.64781,1.02862,1.42115,1.05772,0.000247793,0.000247793,0.000247793
48,7081.99,0.67407,0.89515,0.95835,0.85129,0.77229,0.85359,0.65614,1.02051,1.52336,1.03749,0.000243289,0.000243289,0.000243289
49,7208.42,0.66578,0.87104,0.94403,0.72549,0.77096,0.79824,0.60196,1.01061,1.39782,1.03593,0.000238784,0.000238784,0.000238784
50,7338.74,0.68487,0.88263,0.95449,0.737,0.81833,0.90601,0.69392,0.96533,1.41756,1.02142,0.00023428,0.00023428,0.00023428
51,7470.18,0.66057,0.86547,0.95048,0.63852,0.90125,0.91321,0.69596,0.99144,1.36955,1.03746,0.000229775,0.000229775,0.000229775
52,7603.14,0.65203,0.86872,0.94489,0.75144,0.80487,0.91143,0.67609,1.02474,1.29666,1.04871,0.00022527,0.00022527,0.00022527
53,7735.96,0.66369,0.87245,0.96005,0.63859,0.93365,0.87762,0.68203,0.93565,1.33358,1.00361,0.000220766,0.000220766,0.000220766
54,7868.49,0.64665,0.83027,0.94325,0.78831,0.78883,0.87397,0.64156,1.02836,1.36933,1.05718,0.000216261,0.000216261,0.000216261
55,8000.99,0.66781,0.83216,0.94721,0.71257,0.87952,0.87073,0.64011,0.999,1.30183,1.05873,0.000211757,0.000211757,0.000211757
56,8130.62,0.65279,0.83416,0.96066,0.62246,0.93897,0.86441,0.61984,1.11014,1.34029,1.11526,0.000207252,0.000207252,0.000207252
57,8260.72,0.65134,0.80641,0.95465,0.68603,0.79918,0.82586,0.63764,1.02034,1.32508,1.05872,0.000202748,0.000202748,0.000202748
58,8393.41,0.66011,0.78672,0.94508,0.82374,0.77011,0.83617,0.61289,1.11583,1.32089,1.06578,0.000198244,0.000198244,0.000198244
59,8522.62,0.65638,0.79588,0.93841,0.8365,0.71215,0.85556,0.67183,0.95354,1.30925,1.01733,0.000193739,0.000193739,0.000193739
60,8656.63,0.61975,0.80435,0.93103,0.78476,0.73976,0.79356,0.61757,1.03231,1.39265,1.06003,0.000189235,0.000189235,0.000189235
61,8784.68,0.65173,0.79731,0.9473,0.76582,0.80332,0.81573,0.63981,0.97088,1.28948,1.05938,0.00018473,0.00018473,0.00018473
62,8914.87,0.64199,0.81359,0.94039,0.89989,0.72566,0.83959,0.64242,1.07819,1.35565,1.09026,0.000180226,0.000180226,0.000180226
63,9041.53,0.61052,0.77549,0.92915,0.81214,0.76999,0.80246,0.62513,0.93985,1.36494,1.01764,0.000175721,0.000175721,0.000175721
64,9171.67,0.58321,0.75229,0.92857,0.74428,0.76549,0.79549,0.64219,0.92958,1.37879,1.00996,0.000171217,0.000171217,0.000171217
65,9299.66,0.6343,0.76112,0.9454,0.85569,0.74465,0.81793,0.67741,0.86296,1.29227,0.97656,0.000166712,0.000166712,0.000166712
66,9430.8,0.60022,0.72539,0.9282,0.90942,0.6902,0.8513,0.66617,0.9416,1.26011,1.00962,0.000162207,0.000162207,0.000162207
67,9556.59,0.60583,0.71888,0.92455,0.9018,0.73919,0.845,0.6615,0.94796,1.21887,1.0306,0.000157703,0.000157703,0.000157703
68,9685.07,0.62542,0.75409,0.94304,0.90793,0.73032,0.92548,0.69279,1.00025,1.1675,1.0489,0.000153198,0.000153198,0.000153198
69,9815.36,0.62096,0.73746,0.93275,0.75135,0.84766,0.86667,0.64583,1.01105,1.16157,1.04994,0.000148694,0.000148694,0.000148694
70,9945.67,0.60072,0.72676,0.91939,0.76702,0.75486,0.88098,0.68018,0.9717,1.19259,1.0402,0.00014419,0.00014419,0.00014419
71,10075.3,0.58282,0.71416,0.93151,0.70553,0.86201,0.83129,0.6457,1.03001,1.24498,1.07785,0.000139685,0.000139685,0.000139685
72,10203.2,0.59237,0.7174,0.92177,0.88933,0.73254,0.82775,0.65134,0.95622,1.20829,1.05793,0.000135181,0.000135181,0.000135181
73,10332.7,0.5771,0.70882,0.92438,0.87456,0.72203,0.91069,0.69927,0.94928,1.22312,1.04536,0.000130676,0.000130676,0.000130676
74,10462.7,0.60321,0.73656,0.94355,0.78987,0.78561,0.85208,0.67084,0.96872,1.24474,1.03918,0.000126172,0.000126172,0.000126172
75,10591.9,0.57656,0.68836,0.9197,0.85212,0.75184,0.87564,0.68612,0.97994,1.19413,1.04419,0.000121667,0.000121667,0.000121667
76,10720.5,0.57862,0.71396,0.92379,0.80865,0.7559,0.91153,0.69918,0.9505,1.19083,1.02971,0.000117163,0.000117163,0.000117163
77,10848.5,0.5987,0.68897,0.93062,0.82242,0.76665,0.8669,0.64932,1.03657,1.22094,1.04877,0.000112658,0.000112658,0.000112658
78,10976.3,0.57311,0.66232,0.91594,0.86331,0.74905,0.85035,0.67379,0.97598,1.20913,1.0335,0.000108154,0.000108154,0.000108154
79,11103.2,0.55906,0.67019,0.9078,0.80947,0.78933,0.88122,0.68832,0.96207,1.18898,1.02985,0.000103649,0.000103649,0.000103649
80,11231.8,0.55392,0.65735,0.89727,0.74113,0.82911,0.91786,0.70425,0.92796,1.1637,1.03012,9.91445e-05,9.91445e-05,9.91445e-05
81,11361.9,0.56395,0.68276,0.91717,0.67664,0.95736,0.92488,0.69629,0.97787,1.13541,1.04142,9.464e-05,9.464e-05,9.464e-05
82,11494,0.55387,0.66377,0.90232,0.78457,0.82432,0.91856,0.69089,1.00218,1.16678,1.06391,9.01355e-05,9.01355e-05,9.01355e-05
83,11623.1,0.55512,0.65206,0.91084,0.65911,0.95392,0.9059,0.66823,1.02934,1.1606,1.06508,8.5631e-05,8.5631e-05,8.5631e-05
84,11751.5,0.57533,0.66513,0.91848,0.67825,0.89502,0.92644,0.67587,1.02404,1.15734,1.05563,8.11265e-05,8.11265e-05,8.11265e-05
85,11879,0.5488,0.65,0.9123,0.7678,0.85769,0.92651,0.69344,1.00259,1.13731,1.04507,7.6622e-05,7.6622e-05,7.6622e-05
86,12007.1,0.54497,0.66209,0.91928,0.77874,0.85469,0.92842,0.70058,1.00266,1.11222,1.03719,7.21175e-05,7.21175e-05,7.21175e-05
87,12137.1,0.54221,0.63895,0.89905,0.78762,0.86175,0.92678,0.69506,0.99701,1.08109,1.04207,6.7613e-05,6.7613e-05,6.7613e-05
88,12267.4,0.54292,0.64588,0.91027,0.763,0.84357,0.92646,0.69295,0.99397,1.12773,1.04398,6.31085e-05,6.31085e-05,6.31085e-05
89,12399.1,0.56709,0.67598,0.91882,0.73037,0.86296,0.88423,0.69629,0.99468,1.12057,1.05926,5.8604e-05,5.8604e-05,5.8604e-05
90,12528.4,0.5313,0.62158,0.90356,0.9128,0.72412,0.87208,0.67381,1.05267,1.12949,1.08537,5.40995e-05,5.40995e-05,5.40995e-05
91,12657.4,0.40945,0.55464,0.83557,0.75633,0.85257,0.87627,0.68378,0.97306,1.13158,1.04411,4.9595e-05,4.9595e-05,4.9595e-05
92,12788.7,0.41214,0.5617,0.84045,0.78169,0.8158,0.8907,0.69567,0.93267,1.13548,1.0246,4.50905e-05,4.50905e-05,4.50905e-05
93,12920.2,0.38848,0.53272,0.82863,0.8093,0.81611,0.87581,0.69199,0.94839,1.12269,1.03784,4.0586e-05,4.0586e-05,4.0586e-05
94,13049.3,0.40491,0.53408,0.84648,0.78668,0.831,0.92376,0.70689,0.94073,1.10517,1.03194,3.60815e-05,3.60815e-05,3.60815e-05
95,13177.7,0.38786,0.51715,0.8278,0.78006,0.83567,0.92143,0.70815,0.93163,1.10087,1.03236,3.1577e-05,3.1577e-05,3.1577e-05
96,13306.2,0.38968,0.52659,0.83877,0.77468,0.83999,0.92281,0.71284,0.94041,1.09313,1.03166,2.70725e-05,2.70725e-05,2.70725e-05
97,13434.8,0.38311,0.53024,0.8267,0.78765,0.85081,0.92286,0.7128,0.949,1.07803,1.03246,2.2568e-05,2.2568e-05,2.2568e-05
98,13560.9,0.36434,0.51129,0.81555,0.78276,0.84658,0.92266,0.71174,0.93734,1.06873,1.02546,1.80635e-05,1.80635e-05,1.80635e-05
99,13688.5,0.37422,0.51172,0.82897,0.77825,0.84483,0.92108,0.70791,0.95297,1.08361,1.03607,1.3559e-05,1.3559e-05,1.3559e-05
100,13813.2,0.37409,0.52433,0.83779,0.75498,0.84157,0.92144,0.71219,0.94183,1.08122,1.02454,9.0545e-06,9.0545e-06,9.0545e-06
